Tcrit_mean,Tcrit_std,Tcrit_min,Tcrit_max,elite_fracture_prob_mean,elite_fracture_prob_std,elite_fracture_prob_min,elite_fracture_prob_max,time_to_elite_fracture_mean,time_to_elite_fracture_std,time_to_elite_fracture_min,time_to_elite_fracture_max,weeks_below_elite_crit_mean,weeks_below_elite_crit_std,weeks_below_elite_crit_min,weeks_below_elite_crit_max,avg_loyal_mean,avg_loyal_std,avg_loyal_min,avg_loyal_max,peak_protest_mean,peak_protest_std,peak_protest_min,peak_protest_max,end_displaced_m_mean,end_displaced_m_std,end_displaced_m_min,end_displaced_m_max,mean_elite_mean,mean_elite_std,mean_elite_min,mean_elite_max,min_elite_mean,min_elite_std,min_elite_min,min_elite_max,mean_stab_mean,mean_stab_std,mean_stab_min,mean_stab_max,min_stab_mean,min_stab_std,min_stab_min,min_stab_max
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.014470589390393331,0.0,0.014470589390393331,0.014470589390393331,1.0,0.0,1.0,1.0,2.469682440140106,0.0,2.469682440140106,2.469682440140106,0.5286840150238076,0.0,0.5286840150238076,0.5286840150238076,0.4436657057067851,0.0,0.4436657057067851,0.4436657057067851,0.8011168048779472,0.0,0.8011168048779472,0.8011168048779472,0.48738947738999217,6.206335383118183e-17,0.4873894773899922,0.4873894773899922
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.014475965607346125,0.0,0.014475965607346125,0.014475965607346125,0.21422500871984668,0.0,0.21422500871984668,0.21422500871984668,0.6018055780226834,0.0,0.6018055780226834,0.6018055780226834,0.6262372279390578,0.0,0.6262372279390578,0.6262372279390578,0.6153437453118743,0.0,0.6153437453118743,0.6153437453118743,0.9950525436248459,0.0,0.9950525436248459,0.9950525436248459,0.6889541026507581,0.0,0.6889541026507581,0.6889541026507581
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.014477450015841923,0.0,0.014477450015841923,0.014477450015841923,0.21422500871984668,0.0,0.21422500871984668,0.21422500871984668,0.6018051556582203,0.0,0.6018051556582203,0.6018051556582203,0.626375046349206,0.0,0.626375046349206,0.626375046349206,0.6153437814203552,0.0,0.6153437814203552,0.6153437814203552,0.9956457946425876,0.0,0.9956457946425876,0.9956457946425876,0.7009027875042619,0.0,0.7009027875042619,0.7009027875042619
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.014476975310709211,0.0,0.014476975310709211,0.014476975310709211,0.23461289029989713,0.0,0.23461289029989713,0.23461289029989713,0.618629493926771,0.0,0.618629493926771,0.618629493926771,0.6242823397371028,0.0,0.6242823397371028,0.6242823397371028,0.6131589375794987,0.0,0.6131589375794987,0.6131589375794987,0.9954703585289411,0.0,0.9954703585289411,0.9954703585289411,0.6995204726834954,0.0,0.6995204726834954,0.6995204726834954
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.01446107938081429,0.0,0.01446107938081429,0.01446107938081429,0.23461231122297038,0.0,0.23461231122297038,0.23461231122297038,0.6186288401260862,0.0,0.6186288401260862,0.6186288401260862,0.6344418385907938,0.0,0.6344418385907938,0.6344418385907938,0.6284548373443637,0.0,0.6284548373443637,0.6284548373443637,0.9954607170341024,1.2412670766236366e-16,0.9954607170341023,0.9954607170341023,0.699363913608795,0.0,0.699363913608795,0.699363913608795
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.014453366257151937,0.0,0.014453366257151937,0.014453366257151937,0.23460664011141227,3.1031676915590914e-17,0.2346066401114123,0.2346066401114123,0.6186262109811859,0.0,0.6186262109811859,0.6186262109811859,0.6333055144803426,0.0,0.6333055144803426,0.6333055144803426,0.6284552063158149,0.0,0.6284552063158149,0.6284552063158149,0.9908710544958307,1.2412670766236366e-16,0.9908710544958308,0.9908710544958308,0.6678402461885828,0.0,0.6678402461885828,0.6678402461885828
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.030659258315269076,0.0,0.030659258315269076,0.030659258315269076,0.2347512073456776,0.0,0.2347512073456776,0.2347512073456776,0.6185436755309138,0.0,0.6185436755309138,0.6185436755309138,0.6335856855233308,0.0,0.6335856855233308,0.6335856855233308,0.6284451931055742,0.0,0.6284451931055742,0.6284451931055742,0.9917428614284663,1.2412670766236366e-16,0.9917428614284662,0.9917428614284662,0.6702063055227018,0.0,0.6702063055227018,0.6702063055227018
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.03204307044630902,0.0,0.03204307044630902,0.03204307044630902,0.23445320309911222,0.0,0.23445320309911222,0.23445320309911222,0.6182329176463486,0.0,0.6182329176463486,0.6182329176463486,0.6337943605612202,0.0,0.6337943605612202,0.6337943605612202,0.6284658264481168,0.0,0.6284658264481168,0.6284658264481168,0.992363246749514,1.2412670766236366e-16,0.9923632467495141,0.9923632467495141,0.6712567116682437,0.0,0.6712567116682437,0.6712567116682437
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.03193662773214851,0.0,0.03193662773214851,0.03193662773214851,0.23684770256231094,0.0,0.23684770256231094,0.23684770256231094,0.6197974531813308,0.0,0.6197974531813308,0.6197974531813308,0.6270340477082975,0.0,0.6270340477082975,0.6270340477082975,0.6197160127510636,0.0,0.6197160127510636,0.6197160127510636,0.9658320124541981,0.0,0.9658320124541981,0.9658320124541981,0.6597621423243689,0.0,0.6597621423243689,0.6597621423243689
157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,157.0,0.0,157.0,157.0,0.0,0.0,0.0,0.0,0.6379365635157755,0.0,0.6379365635157755,0.6379365635157755,0.1637067449707243,0.0,0.1637067449707243,0.1637067449707243,0.34373381911264705,0.0,0.34373381911264705,0.34373381911264705,0.6493340082940865,0.0,0.6493340082940865,0.6493340082940865,0.634783817618922,0.0,0.634783817618922,0.634783817618922,0.9898332809113597,1.2412670766236366e-16,0.9898332809113598,0.9898332809113598,0.6613985217509661,0.0,0.6613985217509661,0.6613985217509661
