Tcrit,elite_fracture_prob,time_to_elite_fracture,weeks_below_elite_crit,avg_loyal,peak_protest,end_displaced_m,mean_elite,min_elite,mean_stab,min_stab
157.0,0.0,157.0,0.0,0.7360610387131206,0.16805879301459148,0.2973551882341752,0.6211792687452138,0.5954622884273578,0.9868460481951485,0.651138665643141
157.0,0.0,157.0,0.0,0.01621036455271417,0.3427111292431737,0.6051297894995901,0.5836701812303147,0.5752860548498384,0.9578882243073389,0.6466476019176864
157.0,0.0,157.0,0.0,0.024612345873284973,0.3447452060283718,0.7869468422448911,0.583777047171871,0.5774851303058108,0.9562656866536893,0.6429547912517858
85.0,1.0,100.0,56.0,0.02277968289486301,1.0,2.2914702516734633,0.44241679906165404,0.308583594798072,0.4543471233850774,0.0
75.0,1.0,90.0,66.0,0.023907347674042276,1.0,2.294913453541456,0.4261385235338513,0.3138705377001918,0.37394898503217944,0.0
58.0,1.0,72.0,84.0,0.018091534960947706,1.0,2.602610940671935,0.4034953847889923,0.30925934697096824,0.29200753851531125,0.0
80.0,1.0,96.0,60.0,0.09714399292580476,1.0,1.8010907021640723,0.43496310336901917,0.3209755913814903,0.3753028281177045,0.0
157.0,0.0,157.0,0.0,0.7012645239041485,0.8137430976048196,0.7673888642681648,0.6035588764020628,0.5841362080068689,0.9780446810098968,0.6501885943893538
142.0,0.0,157.0,0.0,0.017696656401057092,1.0,1.6546805500538284,0.5318759830108599,0.3710960282349136,0.7538159475517288,0.024490644277817972
79.0,1.0,95.0,61.0,0.023931294717251177,1.0,2.4623817622518205,0.44314132977397175,0.32113068538238204,0.41876697864515305,0.0
70.0,1.0,87.0,69.0,0.019745958572457374,1.0,2.7618516188939366,0.43124094716773403,0.3213910900120492,0.36223687391591614,0.0
89.0,1.0,103.0,53.0,0.016909111102273087,1.0,2.044267691111507,0.45096093475522736,0.3164069576238948,0.4550059453261557,0.0
157.0,0.0,157.0,0.0,0.022183060985249033,0.4965578680394142,0.7821455044502786,0.5732173147444055,0.5501361265290944,0.9744357737866108,0.6584836044562737
88.0,1.0,106.0,50.0,0.020828962796082713,1.0,2.361789429985816,0.45198589713136644,0.31824543328542915,0.4625183418629864,0.0
157.0,0.0,157.0,0.0,0.024511141545378534,0.6344301047968915,0.9054680476118971,0.5657617759038956,0.5242514471432174,0.960132408193621,0.658455808375775
80.0,1.0,97.0,59.0,0.018983724594876204,1.0,2.433234564483065,0.44879405275625744,0.32255855766444796,0.43412557262787177,0.0
73.0,1.0,89.0,67.0,0.02737917044477818,1.0,2.1204198850701887,0.43203860608774275,0.3207021963907117,0.38451929960444553,0.0
104.0,1.0,120.0,36.0,0.017683967586122,1.0,1.7415502376674088,0.47897532130887005,0.3248459317200479,0.5413645776572025,0.0
49.0,1.0,65.0,91.0,0.0183081209632514,1.0,2.5825971529790577,0.3990973577001058,0.3244619741022129,0.23203024964020755,0.0
53.0,1.0,69.0,87.0,0.01731456914065595,1.0,2.1617745197974485,0.4046235607800536,0.322326276939568,0.26686288236714106,0.0
157.0,0.0,157.0,0.0,0.7173128754051106,0.16086666874773775,0.3363478195953266,0.6249592917123729,0.6044573295795914,0.990192330758515,0.656977010852177
67.0,1.0,81.0,75.0,0.017949013186018645,1.0,2.1354041857583703,0.41590200599026145,0.3135240756550928,0.3438655535278899,0.0
69.0,1.0,90.0,33.0,0.35239569033714896,1.0,2.802982052778223,0.4516266924209524,0.33333713515992813,0.4773844416598851,0.0
157.0,0.0,157.0,0.0,0.01870638974453754,0.508420225367458,0.8989855651243669,0.5646839739380618,0.5316995945294187,0.9548138028043153,0.6536088718574135
58.0,1.0,75.0,81.0,0.02312730173877844,1.0,2.6386028555630725,0.41462121386802114,0.3248240042055217,0.2979358232590903,0.0
83.0,1.0,96.0,60.0,0.020619256641806177,1.0,1.9793343773683385,0.4399373414734626,0.30480801351519743,0.43156780198368266,0.0
71.0,1.0,89.0,35.0,0.36101749041677167,1.0,2.5868018175743375,0.45354463285616614,0.3242892024350964,0.5502668648655195,0.0
92.0,1.0,108.0,48.0,0.021161022780186018,1.0,2.0740952535004706,0.45512233937228924,0.31189991284998275,0.4997156199871722,0.0
70.0,1.0,84.0,72.0,0.022982059277461636,1.0,1.9335752717000234,0.42578085676863253,0.3166475694097728,0.36672642613410694,0.0
157.0,0.0,157.0,0.0,0.020579329788605875,0.29900212878848376,0.7622803708461074,0.5810305191640359,0.5666223647310289,0.9611060089417808,0.6546139042689202
78.0,1.0,98.0,58.0,0.020856147524077013,1.0,2.201472774851908,0.45802838037693616,0.33417135180358254,0.42166809430082935,0.0
122.0,1.0,139.0,17.0,0.02469440087293856,1.0,1.5202995568949564,0.5124870755531017,0.3278483514320194,0.6583158782606199,0.0
157.0,0.0,157.0,0.0,0.020459850149081447,0.721588981424511,0.8915115513516371,0.5266640211275488,0.44612670102904395,0.7757042981939386,0.4905071211966683
97.0,1.0,112.0,44.0,0.018142945482049866,1.0,1.954042211583016,0.46200396106260455,0.3099498145348294,0.5322043663052901,0.0
55.0,1.0,71.0,85.0,0.025653531008160303,1.0,2.231852338385407,0.41777546632376256,0.3277988803797074,0.28662036559398657,0.0
52.0,1.0,66.0,90.0,0.02525253679429746,1.0,2.165167319307286,0.39984828974693054,0.31680616792132177,0.2633559868053018,0.0
70.0,1.0,81.0,75.0,0.018584831843795425,1.0,1.9629372868625945,0.41606398006584044,0.31096398676505244,0.3425506161680869,0.0
139.0,0.0,157.0,0.0,0.02649485884672137,0.9092862180364913,1.325513945452943,0.5237778508627954,0.370147149720763,0.6924875314261045,0.0368726839880449
157.0,0.0,157.0,0.0,0.647787198806031,0.35839725686409696,0.4022517657697549,0.6082388383225966,0.5791302112364669,0.989208135354467,0.6585605726204674
157.0,0.0,157.0,0.0,0.02055191990430405,0.15746727076717054,0.43396707386775035,0.5980465619208649,0.5891877987301684,0.9654644985127481,0.6416852498789384
157.0,0.0,157.0,0.0,0.024307874361630497,0.26928849252339504,0.5994546027906612,0.5908756830473428,0.5852490702813226,0.9876834873488127,0.6541090439962828
