Tcrit_mean,Tcrit_std,elite_fracture_prob_mean,elite_fracture_prob_std,time_to_elite_fracture_mean,time_to_elite_fracture_std,weeks_below_elite_crit_mean,weeks_below_elite_crit_std,avg_loyal_mean,avg_loyal_std,peak_protest_mean,peak_protest_std,end_displaced_m_mean,end_displaced_m_std,mean_elite_mean,mean_elite_std,min_elite_mean,min_elite_std,mean_stab_mean,mean_stab_std,min_stab_mean,min_stab_std
127.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.026157850847479958,0.0,0.15637878677215084,0.0,0.6290289555507811,0.0,0.48245611252839904,0.0,0.43228420133357426,6.206335383118183e-17,0.4177285527318674,6.206335383118183e-17,0.27978503080664885,0.0
127.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.02611539786016822,0.0,0.15637878677215084,0.0,0.6290892475324562,0.0,0.4792735405780938,0.0,0.43204546629598467,0.0,0.40561184743513995,0.0,0.27982893773265916,0.0
46.0,0.0,1.0,0.0,57.0,0.0,99.0,0.0,0.02292064471921796,0.0,1.0,0.0,2.467763917423916,0.0,0.3647102756419472,0.0,0.3019118907934235,0.0,0.17823265886724757,0.0,0.0,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.03564902985041866,0.0,0.2673764807382428,0.0,0.6184200878937124,0.0,0.48992782777889143,0.0,0.4683148974682383,0.0,0.679245277396457,0.0,0.6190288659218274,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.036593943450192075,0.0,0.26705370778295384,0.0,0.6164641838060971,0.0,0.49029464051445537,6.206335383118183e-17,0.4685291083825355,6.206335383118183e-17,0.6806466693141079,0.0,0.6198587012656336,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.09234508466667044,0.0,0.2570495704336831,0.0,0.5201614520481392,0.0,0.5062969240528182,0.0,0.47468790029532226,6.206335383118183e-17,0.7410631964824151,0.0,0.6332529141818392,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.033732249653451195,0.0,0.26963739774074846,0.0,0.6276748135477059,0.0,0.4877173989651246,0.0,0.46642677645155983,6.206335383118183e-17,0.6716149698012025,0.0,0.6122768437490679,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.035164472241231176,0.0,0.2679131581076938,0.0,0.6206273345046519,0.0,0.48938014532100105,6.206335383118183e-17,0.46786998081211334,0.0,0.6773431435654825,0.0,0.6174359478214247,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.028855209719477914,0.0,0.27773273426510614,0.0,0.6587562064328527,0.0,0.4803851220582058,0.0,0.4594256748646738,6.206335383118183e-17,0.6464094262984432,0.0,0.5872105583489835,0.0
157.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.03563086869812664,0.0,0.26737590718770515,0.0,0.6185563987509956,0.0,0.4899201189046175,0.0,0.4683206018901639,6.206335383118183e-17,0.6792055669608812,0.0,0.6190425915101192,0.0
