Tcrit,elite_fracture_prob,time_to_elite_fracture,weeks_below_elite_crit,avg_loyal,peak_protest,end_displaced_m,mean_elite,min_elite,mean_stab,min_stab
157.0,0.0,157.0,0.0,0.4971829640681747,0.226032932379161,0.5055052418632128,0.5249864913507448,0.4407733816943805,0.7315234925662352,0.4446619372933152
37.0,1.0,64.0,92.0,0.021766630533967622,0.41107904030146697,1.04717619688123,0.3753911275028099,0.31913781751522213,0.13247847133557636,0.0
157.0,0.0,157.0,0.0,0.0221076006380245,0.3064341722860345,0.796984143247872,0.4564650248992636,0.40712001910453843,0.4936298569689053,0.3506369656950281
24.0,1.0,49.0,46.0,0.5597579243821884,0.4898375657439301,0.5094498855428327,0.432905709454741,0.32722034780208914,0.39421273936477047,0.0
157.0,0.0,157.0,0.0,0.44725135426469037,0.2988820733876512,0.39557543455949434,0.5173359219212269,0.4335400020278774,0.7422444938740268,0.44444741839052215
36.0,1.0,55.0,101.0,0.0982920439086947,0.725545779466025,0.925097068470735,0.37425808557913115,0.318423893996431,0.13305839061436858,0.0
21.0,1.0,36.0,120.0,0.0168733751840396,1.0,2.451203422586946,0.3494529812927431,0.30459107556137127,0.07768777813824058,0.0
18.0,1.0,33.0,123.0,0.06914918611045746,1.0,1.93908733761783,0.3398163133390367,0.29916682312090803,0.0645286511214522,0.0
29.0,1.0,52.0,104.0,0.02034606215067721,0.4965434370174011,1.0281614228883935,0.36431212033492877,0.3092720623762004,0.10575138883025001,0.0
17.0,1.0,30.0,126.0,0.022509349211413437,1.0,2.2736501658594275,0.3258126239179045,0.2848817758385421,0.05856004504587393,0.0
28.0,1.0,44.0,112.0,0.020817984287650162,1.0,2.3998894664168477,0.3560563536147346,0.3053388623603008,0.09885569145206047,0.0
38.0,1.0,56.0,100.0,0.016516088938962684,0.8565511959080212,1.594211244199915,0.36170629176414504,0.2958902680891758,0.14426608966658622,0.0
54.0,1.0,79.0,77.0,0.019443743730116207,0.44213920146429153,0.833679006350235,0.3814172381221068,0.3044503481527354,0.20349416703364323,0.0
18.0,1.0,28.0,128.0,0.018239821578216086,1.0,2.626977717884211,0.3243864859898529,0.2853377363184934,0.0674569664164126,0.0
157.0,0.0,157.0,0.0,0.017969101536583817,0.17420972560213357,0.6443980678472645,0.47731125885989645,0.4468652675810559,0.5493039425131891,0.49030568243212097
15.0,1.0,27.0,129.0,0.020974976514240674,1.0,2.366569777832668,0.3271265495256104,0.29149273653559266,0.05515963405664034,0.0
42.0,1.0,65.0,91.0,0.0161971559967003,0.6300154732710879,1.0794121887002133,0.3805977054813789,0.3153942602193781,0.162511629889886,0.0
22.0,1.0,37.0,119.0,0.01672710101038081,1.0,2.823209153125447,0.3371629793328821,0.2872461311923876,0.07925805968063283,0.0
15.0,1.0,30.0,126.0,0.016209931825479196,1.0,2.328897407411976,0.319121631224301,0.27514886207990746,0.056520940054251664,0.0
54.0,1.0,74.0,82.0,0.02085162041435049,0.5630267778798418,1.131745395012282,0.37696311008835576,0.3011665826506199,0.21106441339404214,0.0
25.0,1.0,40.0,116.0,0.019989986956554618,1.0,2.4688440832015024,0.33966578835115585,0.2896652361737022,0.08721839757373814,0.0
16.0,1.0,26.0,130.0,0.01799765531364154,1.0,2.6149196637953667,0.3060017546585742,0.266597150950172,0.05552016337563429,0.0
48.0,0.0,157.0,0.0,0.021177892274006505,0.26555388966764576,0.4463772027256401,0.4108872014633558,0.3696632055436524,0.28233468419882557,0.1834251572019604
90.0,0.0,157.0,0.0,0.017598181715086623,0.3207729414256305,0.8528073240986087,0.4349427215832725,0.3760686200543966,0.3598745160661854,0.1832984246160812
12.0,1.0,28.0,128.0,0.01968023066691014,1.0,2.431199742945997,0.3340537647789389,0.30010791494030153,0.04910298531174774,0.0
21.0,1.0,30.0,126.0,0.21854866747025112,1.0,2.5188751733222627,0.3314073353174059,0.2878690090490577,0.07825990779436615,0.0
20.0,1.0,33.0,123.0,0.02164751557580557,1.0,2.385439139858705,0.3306634325993328,0.29134958095794733,0.0688530139450224,0.0
62.0,1.0,89.0,67.0,0.016783620186162255,0.48731767465967896,1.1662545388089391,0.392771270095817,0.3123787883087211,0.23081611762990498,0.0
61.0,1.0,100.0,56.0,0.01748722981611466,0.4334701145052075,1.0397172079824135,0.40154016873096465,0.31797189072186266,0.25372057193029474,0.0
36.0,1.0,57.0,99.0,0.018504945795950276,0.7641540094957415,1.2019551859020947,0.37267038119793544,0.311553868588079,0.13213436975648632,0.0
21.0,1.0,30.0,126.0,0.017680739871786273,1.0,3.100372670025829,0.326380675511103,0.28907511507889233,0.07259573987216814,0.0
157.0,0.0,157.0,0.0,0.020652061688938635,0.1628887084653242,0.5436501366603027,0.44561141357072015,0.412512570833445,0.39492898429270396,0.31862787093139755
15.0,1.0,26.0,130.0,0.017069675478627182,1.0,2.771218021763896,0.31256355882137216,0.2733973466372106,0.05462085400034137,0.0
31.0,1.0,42.0,114.0,0.22495231204844154,0.9800859390312515,2.1585402486327023,0.3416595017733111,0.292247675728726,0.10745240057754299,0.0
33.0,1.0,50.0,106.0,0.01579734431372038,1.0,2.092432855855861,0.35855320994563294,0.30028007050662103,0.11688380904776355,0.0
34.0,1.0,48.0,108.0,0.024762208903545614,1.0,2.024378469042628,0.35527767150285117,0.2995922609305526,0.1258508134622201,0.0
157.0,0.0,157.0,0.0,0.019777131697601105,0.19835471883407996,0.7109304649802491,0.4346154184723635,0.40345760960867105,0.4579930391907267,0.39308586539880885
33.0,1.0,46.0,110.0,0.01771147861061036,0.9308678813159119,1.448956846674524,0.34057811320361614,0.2754234744808281,0.10934395021973216,0.0
17.0,1.0,26.0,130.0,0.020259121038534243,1.0,2.603194669024832,0.3158606492292738,0.2784473274489247,0.061230740548306795,0.0
20.0,1.0,37.0,119.0,0.01991385621253505,1.0,2.4470974045619664,0.34435549322722314,0.29990292181680633,0.07321848726627028,0.0
26.0,1.0,42.0,114.0,0.20293692287038892,1.0,2.0374687617583427,0.3541109648368056,0.3134184944728666,0.08685281043766858,0.0
21.0,1.0,34.0,122.0,0.02287607026914186,1.0,2.269532317631981,0.319743919405407,0.26658978376442327,0.070659602216663,0.0
42.0,1.0,62.0,94.0,0.02152937934442907,0.8774398269932864,1.7189676345787814,0.37985865353159565,0.31625715467281024,0.1493661290636929,0.0
23.0,1.0,36.0,120.0,0.1254001695536385,1.0,2.2290682039046565,0.33849211949924385,0.29846627854815627,0.07960198807116016,0.0
16.0,1.0,26.0,130.0,0.01733821707972812,1.0,2.631948650746669,0.3146486793409986,0.27891215072891157,0.05703655520003059,0.0
39.0,1.0,70.0,86.0,0.021738910286921136,0.38891744071592244,0.71910832576134,0.3880535431297676,0.33048560852257197,0.14787274989121849,0.0
27.0,1.0,39.0,117.0,0.019019855276246878,1.0,2.49152803662632,0.3352580001176742,0.28061592979205174,0.09626113067459224,0.0
28.0,1.0,46.0,110.0,0.018926015101086956,1.0,2.2827633968785395,0.35391779840709264,0.29983672584269494,0.09880316818353692,0.0
39.0,1.0,51.0,105.0,0.021706283091423344,0.8828196616862002,1.67853672148445,0.34101585098220294,0.2678221383764051,0.14859036666019385,0.0
26.0,1.0,36.0,120.0,0.02286868124631761,1.0,2.447014951334767,0.3367730284750526,0.29161599420553863,0.09187068702894502,0.0
21.0,1.0,39.0,117.0,0.021670923729240423,1.0,2.5060910587881673,0.3438636626355888,0.29944423278775334,0.07159283092427866,0.0
12.0,1.0,29.0,127.0,0.023246794020315185,1.0,2.2645728236636313,0.32203160179922374,0.2812485059689098,0.048408930646788764,0.0
25.0,1.0,34.0,122.0,0.015370241197607451,1.0,2.515422244072162,0.32410106155248086,0.2771162501488193,0.08565607350395434,0.0
18.0,1.0,35.0,121.0,0.016116744265056056,1.0,2.3943392164710855,0.3547895950496787,0.31367636867309767,0.06444243731671133,0.0
